inputLength,outputLength,sAlgorithm,buffersize,time
40480, 0, SHA-256, 1, 0
40480, 0, SHA-256, 2, 0
40480, 0, SHA-256, 4, 0
40480, 0, SHA-256, 8, 0
40480, 0, SHA-256, 16, 0
40480, 0, SHA-256, 32, 16
40480, 0, SHA-256, 64, 0
40480, 0, SHA-256, 128, 0
40480, 0, SHA-256, 256, 0
40480, 0, SHA-256, 512, 0
40480, 0, SHA-256, 1024, 0
40480, 0, SHA-256, 2048, 0
40480, 0, SHA-256, 4096, 0
40480, 0, SHA-256, 8192, 0
40480, 0, SHA-256, 16384, 0
40480, 0, SHA-256, 32768, 0
40480, 0, SHA-256, 65536, 0
40480, 0, SHA-256, 131072, 0
40480, 0, SHA-256, 262144, 0
40480, 0, SHA-256, 524288, 0
40480, 0, SHA-256, 1048576, 0
40480, 0, SHA-256, 2097152, 0
40480, 0, SHA-256, 4194304, 0
40480, 0, SHA-256, 8388608, 0
40480, 0, SHA-256, 16777216, 15
40480, 0, SHA-256, 33554432, 0
40480, 0, SHA-256, 67108864, 0
40480, 0, SHA-384, 1, 0
40480, 0, SHA-384, 2, 0
40480, 0, SHA-384, 4, 0
40480, 0, SHA-384, 8, 0
40480, 0, SHA-384, 16, 0
40480, 0, SHA-384, 32, 0
40480, 0, SHA-384, 64, 0
40480, 0, SHA-384, 128, 0
40480, 0, SHA-384, 256, 0
40480, 0, SHA-384, 512, 0
40480, 0, SHA-384, 1024, 0
40480, 0, SHA-384, 2048, 0
40480, 0, SHA-384, 4096, 0
40480, 0, SHA-384, 8192, 0
40480, 0, SHA-384, 16384, 16
40480, 0, SHA-384, 32768, 1
40480, 0, SHA-384, 65536, 0
40480, 0, SHA-384, 131072, 0
40480, 0, SHA-384, 262144, 0
40480, 0, SHA-384, 524288, 0
40480, 0, SHA-384, 1048576, 0
40480, 0, SHA-384, 2097152, 0
40480, 0, SHA-384, 4194304, 0
40480, 0, SHA-384, 8388608, 0
40480, 0, SHA-384, 16777216, 0
40480, 0, SHA-384, 33554432, 0
40480, 0, SHA-384, 67108864, 0
40480, 0, SHA-512, 1, 0
40480, 0, SHA-512, 2, 0
40480, 0, SHA-512, 4, 0
40480, 0, SHA-512, 8, 0
40480, 0, SHA-512, 16, 0
40480, 0, SHA-512, 32, 0
40480, 0, SHA-512, 64, 0
40480, 0, SHA-512, 128, 0
40480, 0, SHA-512, 256, 0
40480, 0, SHA-512, 512, 0
40480, 0, SHA-512, 1024, 0
40480, 0, SHA-512, 2048, 0
40480, 0, SHA-512, 4096, 0
40480, 0, SHA-512, 8192, 16
40480, 0, SHA-512, 16384, 0
40480, 0, SHA-512, 32768, 0
40480, 0, SHA-512, 65536, 0
40480, 0, SHA-512, 131072, 0
40480, 0, SHA-512, 262144, 0
40480, 0, SHA-512, 524288, 0
40480, 0, SHA-512, 1048576, 0
40480, 0, SHA-512, 2097152, 0
40480, 0, SHA-512, 4194304, 0
40480, 0, SHA-512, 8388608, 0
40480, 0, SHA-512, 16777216, 0
40480, 0, SHA-512, 33554432, 0
40480, 0, SHA-512, 67108864, 0
40480, 0, SHA3-224, 1, 0
40480, 0, SHA3-224, 2, 0
40480, 0, SHA3-224, 4, 0
40480, 0, SHA3-224, 8, 0
40480, 0, SHA3-224, 16, 0
40480, 0, SHA3-224, 32, 0
40480, 0, SHA3-224, 64, 0
40480, 0, SHA3-224, 128, 0
40480, 0, SHA3-224, 256, 0
40480, 0, SHA3-224, 512, 0
40480, 0, SHA3-224, 1024, 0
40480, 0, SHA3-224, 2048, 0
40480, 0, SHA3-224, 4096, 0
40480, 0, SHA3-224, 8192, 0
40480, 0, SHA3-224, 16384, 0
40480, 0, SHA3-224, 32768, 0
40480, 0, SHA3-224, 65536, 0
40480, 0, SHA3-224, 131072, 0
40480, 0, SHA3-224, 262144, 0
40480, 0, SHA3-224, 524288, 0
40480, 0, SHA3-224, 1048576, 0
40480, 0, SHA3-224, 2097152, 0
40480, 0, SHA3-224, 4194304, 0
40480, 0, SHA3-224, 8388608, 0
40480, 0, SHA3-224, 16777216, 0
40480, 0, SHA3-224, 33554432, 0
40480, 0, SHA3-224, 67108864, 0
40480, 0, SHA3-256, 1, 0
40480, 0, SHA3-256, 2, 0
40480, 0, SHA3-256, 4, 0
40480, 0, SHA3-256, 8, 0
40480, 0, SHA3-256, 16, 0
40480, 0, SHA3-256, 32, 0
40480, 0, SHA3-256, 64, 0
40480, 0, SHA3-256, 128, 0
40480, 0, SHA3-256, 256, 0
40480, 0, SHA3-256, 512, 0
40480, 0, SHA3-256, 1024, 0
40480, 0, SHA3-256, 2048, 0
40480, 0, SHA3-256, 4096, 0
40480, 0, SHA3-256, 8192, 0
40480, 0, SHA3-256, 16384, 0
40480, 0, SHA3-256, 32768, 0
40480, 0, SHA3-256, 65536, 0
40480, 0, SHA3-256, 131072, 0
40480, 0, SHA3-256, 262144, 0
40480, 0, SHA3-256, 524288, 0
40480, 0, SHA3-256, 1048576, 0
40480, 0, SHA3-256, 2097152, 0
40480, 0, SHA3-256, 4194304, 0
40480, 0, SHA3-256, 8388608, 0
40480, 0, SHA3-256, 16777216, 0
40480, 0, SHA3-256, 33554432, 0
40480, 0, SHA3-256, 67108864, 0
40480, 0, SHA3-384, 1, 0
40480, 0, SHA3-384, 2, 0
40480, 0, SHA3-384, 4, 0
40480, 0, SHA3-384, 8, 0
40480, 0, SHA3-384, 16, 0
40480, 0, SHA3-384, 32, 0
40480, 0, SHA3-384, 64, 0
